iter	Passed	Remaining
746	2103	712
747	2108	710
748	2114	708
749	2118	706
750	2122	703
751	2126	701
752	2129	698
753	2132	695
754	2134	692
755	2138	690
756	2143	687
757	2145	685
758	2148	682
759	2150	679
760	2152	676
761	2156	673
762	2159	670
763	2161	667
764	2163	664
765	2165	661
766	2170	659
767	2173	656
768	2174	653
769	2177	650
770	2178	647
771	2181	644
772	2186	642
773	2188	639
774	2190	635
775	2192	632
776	2194	629
777	2197	627
778	2201	624
779	2204	621
780	2206	618
781	2210	616
782	2213	613
783	2218	611
784	2222	608
785	2226	606
786	2228	603
787	2232	600
788	2234	597
789	2242	596
790	2249	594
791	2250	591
792	2253	588
793	2256	585
794	2259	582
795	2261	579
796	2263	576
797	2265	573
798	2267	570
799	2270	567
800	2272	564
801	2275	561
802	2277	558
803	2279	555
804	2281	552
805	2284	549
806	2286	546
807	2288	543
808	2290	540
809	2292	537
810	2294	534
811	2296	531
812	2298	528
813	2300	525
814	2302	522
815	2306	520
816	2308	517
817	2311	514
818	2315	511
819	2317	508
820	2320	505
821	2323	503
822	2325	500
823	2327	497
824	2329	494
825	2331	491
826	2333	488
827	2335	485
828	2337	482
829	2339	479
830	2341	476
831	2344	473
832	2348	470
833	2350	467
834	2353	465
835	2355	462
836	2357	459
837	2359	456
838	2361	453
839	2362	450
840	2364	447
841	2366	444
842	2368	441
843	2370	438
844	2372	435
845	2374	432
846	2377	429
847	2380	426
848	2383	423
849	2385	420
850	2387	418
851	2389	415
852	2391	412
853	2393	409
854	2397	406
855	2399	403
856	2402	400
857	2405	398
858	2408	395
859	2410	392
860	2413	389
861	2415	386
862	2417	383
863	2419	380
864	2421	377
865	2424	375
866	2426	372
867	2429	369
868	2432	366
869	2434	363
870	2437	360
871	2438	357
872	2441	355
873	2445	352
874	2448	349
875	2451	347
876	2454	344
877	2458	341
878	2464	339
879	2467	336
880	2469	333
881	2471	330
882	2476	328
883	2479	325
884	2482	322
885	2485	319
886	2487	316
887	2491	314
888	2494	311
889	2496	308
890	2501	306
891	2505	303
892	2507	300
893	2511	297
894	2515	295
895	2517	292
896	2520	289
897	2522	286
898	2524	283
899	2525	280
900	2527	277
901	2529	274
902	2530	271
903	2534	269
904	2537	266
905	2539	263
906	2542	260
907	2544	257
908	2549	255
909	2552	252
910	2555	249
911	2558	246
912	2562	244
913	2568	241
914	2570	238
915	2573	235
916	2577	233
917	2581	230
918	2583	227
919	2585	224
920	2590	222
921	2596	219
922	2598	216
923	2600	213
924	2602	210
925	2603	208
926	2605	205
927	2607	202
928	2609	199
929	2612	196
930	2615	193
931	2617	190
932	2620	188
933	2622	185
934	2624	182
935	2626	179
936	2628	176
937	2630	173
938	2633	171
939	2636	168
940	2639	165
941	2642	162
942	2644	159
943	2650	157
944	2652	154
945	2653	151
946	2655	148
947	2657	145
948	2659	142
949	2662	140
950	2664	137
951	2666	134
952	2668	131
953	2669	128
954	2671	125
955	2673	123
956	2675	120
957	2677	117
